Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Asistencia Técnica y Capacitación Pecuaria.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,7200.0,1.0,1.0,Nivel 2,0.0,1,-0.3537880242176158
Siembra de Crías de Peces.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,43200.0,0.0,1.0,Nivel 2,0.0,1,-0.26896400199734255
Clínica Universitaria de Rehabilitación Integral (C.U.R.e.I.) Servicios de Terapia Física UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,1440.0,3.0,0.0,Nivel 3.7,1.0,3,-0.37687139090140953
Inscripción al Catálogo de Empresas del Sector Energético del Estado de Hidalgo.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,25920.0,3.0,1.0,Nivel 1,1.0,2,0.3108393552309552
"Reinscripción: 2°,3°,4°,5° y 6° Semestre Bachillerato del Estado de Hidalgo",Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Titulación UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,367200.0,4.0,1.0,Nivel 3.2,1.0,2,0.6685865070924703
Opinión de Cumplimiento de Obligaciones Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,4320.0,0.0,0.0,,1.0,2,0.15846138176491462
Reposición de certificado o constancia del ICATHI,Secretaría de Trabajo y Previsión Social,Instituto de Capacitación para el Trabajo del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Tienda en línea Margarita Michelena.,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,2880.0,0.0,0.0,Nivel 1,1.0,2,0.019267197247042355
Cesión de Derechos - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,3.0,1.0,,1.0,2,-0.04979250957154395
Órdenes de escrituración - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,30.0,4.0,1.0,,1.0,2,0.1850328548730277
Constancia escolar UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,1.0,2,-0.02516485649293365
"Asesoría técnica, especializada en agricultura sustentable.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,0.0,Nivel 2,0.0,1,-0.5196803404566696
Credencialización UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,60.0,1.0,0.0,Nivel 1,1.0,2,-0.19137862883639425
Garantias del Interes Fiscal (Federal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,1,0.04800187766509985
Garantias del Interes Fiscal (Estatal),Secretaría de Hacienda,Secretaría de Hacienda,129600.0,0.0,1.0,,0.0,1,0.04800187766509985
Remates en línea,Secretaría de Hacienda,Secretaría de Hacienda,43200.0,0.0,0.0,,0.0,1,-0.1597553801123849
Historial Académico UNIDEH,Secretaría de Educación Pública,Universidad Digital del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
Dictamen de Equivalencia (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,86400.0,3.0,1.0,,1.0,2,0.4467725712641711
Préstamo con maquinaria especializada para la nivelación de tierras agrícolas.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,1.0,1.0,Nivel 2,0.0,1,-0.511450283434417
Publicaciones e impresiones (Materia Catastral Compendio Catastral),Secretaría de Hacienda,Instituto Catastral,4320.0,1.0,0.0,,1.0,2,0.15846138176491462
Refrendo anual perito topográfo,Secretaría de Hacienda,Instituto Catastral,172800.0,1.0,2.0,,1.0,0,1.0198351311072478
Becas para la Transformación de Estudiantes de Instituciones de Educación Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,7200.0,11.0,3.0,Nivel 4.1,0.0,0,0.9117307861608188
Copia de Ortofoto a color escala 1:1000,Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,2,0.2847396200075317
Autorización de Centro de Asesoría Particular de Preparatoria Abierta,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,21600.0,9.0,0.0,Nivel 1,1.0,2,0.7852985359057334
Admisión UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,3,-0.6123582510289843
Constancia Escolar UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,2,0.13174590317343826
Certificado Parcial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,21600.0,2.0,0.0,Nivel 3.9,1.0,3,-0.2962766147421851
Cursos de Educación Continua UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,Nivel 3.9,1.0,3,-0.6123582510289843
Titulación en la UICEH,Secretaría de Educación Pública,Universidad Intercultural del Estado de Hidalgo,518400.0,8.0,0.0,Nivel 1,1.0,2,1.118186813692979
Examen TOEFL UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
Asesoría Jurídica en Derechos Humanos,Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,0.0,1,-0.28577957191726167
Escrituras Públicas para personas que han tenido en posesión un predio,Secretaría de Gobierno,Secretaría de Gobierno,345600.0,5.0,0.0,Nivel 1,0.0,1,0.39683023449954746
Modificación de Tipo de Perito en el Padrón,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,2,0.2847396200075317
Atención al empoderamiento.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,30.0,0.0,0.0,,0.0,1,-0.611866892324292
Uso de la Plataforma Naturalista,Secretaría de Medio Ambiente y Recursos Naturales,Comisión Estatal de Biodiversidad de Hidalgo,1440.0,0.0,1.0,Nivel 1,0.0,1,-0.45273094398081215
Credencial de Identificación Escolar (CEH),Secretaría de Educación Pública,Colegio del Estado de Hidalgo,7200.0,0.0,2.0,Nivel 1,1.0,0,0.6583144863633656
Becas Institucionales UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,11520.0,0.0,3.0,Nivel 2,0.0,0,0.557120268140347
Transformando con la Juventud,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,1,-0.7507314858778957
Tu Experiencia Transforma,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,15.0,3.0,1.0,Nivel 3.2,0.0,1,-0.7507314858778957
Acompañamiento a los municipios para la implementación de estrategias que impulsen el desarrollo económico local,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,21600.0,0.0,1.0,Nivel 1,0.0,1,-0.2546974889143775
"Expedición, Renovación o Reposición por Robo o Extravío del Tarjetón para Personas que Conducen Unidades Autorizadas por el Sistema de Transporte Convencional",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,23.0,7.0,1.0,Nivel 2,1.0,2,0.32288919852482084
"Suministro e instalación de mojonera de hormigon de 40 cms. de largo y 10 cms. de diametro con una varilla al centro de 1/2"", para identificación de vertices que delimitan perimetrales de predio",Secretaría de Hacienda,Instituto Catastral,4320.0,4.0,1.0,,1.0,2,0.5195649844521034
Equivalencia de Estudios UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,43200.0,3.0,0.0,Nivel 3.9,1.0,3,-0.2518237883715451
Actualización del Registro de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,1.0,2,0.03355448296067141
Gestión de Créditos,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,2.0,0.0,Nivel 2,0.0,1,-0.40163215923630496
Asignación de Servicio Social UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,30.0,3.0,1.0,Nivel 2,0.0,1,-0.603027332988885
Asesoría Legal En Materia Notarial,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
"Inscripción de la designación, aceptación o discernimiento del cargo de albacea. Declaración y reconocimiento de herederos en un solo documento.",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.35786617626972306
Expedición de constancias de documentos que obran en la Dirección General de Profesiones,Secretaría de Educación Pública,Secretaría de Educación Pública,4320.0,1.0,1.0,Nivel 1,1.0,2,0.10797209933356204
Verificación energética en centros de carga eléctrica con tarifa comercial hasta 25 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,2,0.3175963005836001
Verificación energética en centros de carga eléctrica con tarifa de uso domestico (DAC),Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,0.0,1.0,Nivel 1,1.0,2,0.19954811936323544
Inscripción Nivel Posgrado UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,1440.0,6.0,1.0,Nivel 3.9,1.0,3,-0.25125464834179556
Ayudas Comunitarias a Mujeres y Familias Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,2.0,1.0,,0.0,1,-0.2759634233068424
Eco Estufas del Bienestar,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,2.0,1.0,Nivel 2,0.0,1,-0.6573234018599786
Mujer de Maíz,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),5760.0,2.0,1.0,Nivel 2,0.0,1,-0.2500487080881161
Seguridad Alimentaria,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,1.0,1.0,Nivel 2,0.0,1,-0.7753715830803432
Remodelación de Parques en Comunidades Indígenas,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,3.0,1.0,,0.0,1,-0.2759634233068424
Revalidación de Estudios Bachillerato del Estado de Hidalgo,Secretaría de Educación Pública,Bachillerato del Estado de Hidalgo,30.0,1.0,0.0,Nivel 1,1.0,2,-0.2347900872677661
Corredor Artesanal,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),1440.0,4.0,1.0,,0.0,1,-0.04113805886227073
Impuesto sobre Tenencia y Refrendo Vehicular (transporte público),Secretaría de Hacienda,Secretaría de Hacienda,1440.0,8.0,3.0,Nivel 3.7,1.0,0,1.0065088352426987
Constancia de estudios UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,4320.0,0.0,0.0,Nivel 3.1,1.0,2,-0.017696636595900594
Asesoría en Materia de Mantenimiento y Conservación de Parques Industriales,Secretaría de Desarrollo Económico,Corporación de Fomento de Infraestructura Industrial,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
"Inscripción de la disolución, liquidación y de ambas cuando consten en un solo documento. (Registro Público de la Propiedad y del Comercio, personas morales)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.35786617626972306
Acciones en materia de transversalidad de la perspectiva de género,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,1.0,Nivel 1,0.0,1,-0.3278240451765689
Acciones en materia de protección de los derechos humanos de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,0.0,0.0,Nivel 1,0.0,1,-0.33605410219882137
Apoyos asistenciales otorgados a mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,1.0,Nivel 1,0.0,1,-0.20977586395620423
Apoyos económicos para el bienestar físico de las mujeres,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,1440.0,4.0,1.0,Nivel 1,0.0,1,-0.09985739831587578
"Apoyos económicos para niñas y adolescentes embarazadas, madres o con plan de restitución de derechos",Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,4320.0,3.0,2.0,Nivel 1,0.0,0,0.3078111626610413
Levantamiento topográfico.,Secretaría de Educación Pública,Instituto Hidalguense de Infraestructura Física Educativa,21600.0,1.0,1.0,Nivel 1,1.0,2,0.1810986555957534
Constancia de estudios UTT,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,1440.0,0.0,0.0,,1.0,2,0.03355448296067141
Constancia de Estudios UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,1.0,0.0,,1.0,2,0.03355448296067141
Verificación energética en centros de carga eléctrica con tarifa empresarial menor a 100 kW.,Secretaría de Desarrollo Económico,Agencia Estatal de Energía de Hidalgo,28800.0,3.0,1.0,Nivel 1,1.0,2,0.3175963005836001
"Talleres, Pláticas y Conferencias sobre Habilidades de vida para Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,2.0,0.0,,0.0,1,-0.28419348032909486
Pago de multa por incomparecencia del patrón en el procedimiento de conciliación,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,1440.0,0.0,0.0,,1.0,2,0.03355448296067141
"Por cada foja digitalizada, archivo informático y disco óptico que se utilice para entregar los documentos a que se refieren las fracciones I a III",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,,1.0,2,0.2398179950493584
Certificado de Estudios UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,2880.0,1.0,0.0,Nivel 2,1.0,2,-0.03945214220656268
Constancia de Estudios UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,180.0,1.0,0.0,Nivel 3.7,1.0,3,-0.4006914889244679
Reposición de la Credencial de la UPMH por pérdida,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,4320.0,1.0,0.0,Nivel 3.7,1.0,3,-0.37001267331753096
Reposición de credencial ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,1440.0,1.0,0.0,Nivel 1,1.0,2,-0.02516485649293365
Publicación de Artículo en Congreso ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,125280.0,3.0,0.0,Nivel 1,1.0,2,0.5327225813978747
Inspección Vehicular para Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,4.0,1.0,Nivel 2,1.0,2,0.06759417596581761
Quejas administrativas en contra de las y los Notarios Públicos durante el ejercicio de su función,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Cotejo de documentos no autentificados que deben destinarse al apéndice (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Constancia Escolar UTTT,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,10.0,1.0,0.0,Nivel 1,1.0,2,-0.2890861561388597
Trámite de Equivalencia de Estudios UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,86400.0,3.0,1.0,Nivel 2,1.0,2,0.32933389235696103
"Inscripción de convenios para fraccionar, lotificar o subdividir un predio (zonas urbanas, residenciales e industriales). (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,4.0,1.0,Nivel 3.5,1.0,3,0.18165616453905925
Inscripción de créditos refaccionarios de habilitación o avío agrícola. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,3,-0.17121738112587703
"Reposición de Placas por robo, Extravío o Robo de Unidades Autorizadas por el Sistema de Transporte Convencional",Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,4.0,1.0,Nivel 2,1.0,2,0.06759417596581761
Reporte Ciudadano en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,28800.0,0.0,0.0,Nivel 1,0.0,1,-0.2444780821691479
Ingreso a Casa de Día del Sistema DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,4.0,0.0,,0.0,1,-0.04936811588452326
Préstamos prendarios,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,,0.0,1,-0.40224166154945956
Historial Académico UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,4320.0,1.0,0.0,Nivel 3.1,1.0,2,-0.017696636595900594
"Proceso y trámite de Adopción de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Por si las Lluvias,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDSPI),10.0,2.0,1.0,Nivel 2,0.0,1,-0.6573234018599786
Alta Provisional de Albacea de la Concesión del Servicio Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,7.0,1.0,,1.0,2,0.44458924654032383
Consejería en Salud Sexual y Reproductiva para Mujeres Jóvenes,Secretaría de Gobierno,Ciudad de las Mujeres,50.0,0.0,0.0,,0.0,1,-0.5799385156548492
Ortofoto a color escala 1:1000 derivado de vuelo con Dron.,Secretaría de Hacienda,Instituto Catastral,4320.0,3.0,1.0,,1.0,2,0.2847396200075317
Dictaminación de Avalúos (Catastral),Secretaría de Hacienda,Instituto Catastral,12960.0,8.0,1.0,Nivel 1,1.0,2,0.7908505567447797
"Copia de plano de la localidad, 60x90 cms (Catastral)",Secretaría de Hacienda,Instituto Catastral,4320.0,2.0,1.0,,1.0,2,0.2847396200075317
Concesiones y Permisos de Servicios Auxiliares y Conexos Autorizados por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,11.0,1.0,,1.0,2,0.8041031011125888
Historial Académico UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,2,0.13174590317343826
Extinción de Permisos de Servicio Privado y Complementario de Transporte de Personas y Bienes,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,2,-0.04979250957154395
Transferencia por Sentencia de Adjudicación de la Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,10.0,1.0,,1.0,2,0.44458924654032383
Atención Temporal a Niñas y Niños acompañantes de usuarias,Secretaría de Gobierno,Ciudad de las Mujeres,1440.0,0.0,4.0,,0.0,0,0.6348579104227223
"Aviso de Previsiones de Compra Venta de Estupefacientes para Farmacias, Droguerías y Boticas",Secretaría de Salud,Secretaría de Salud,20.0,1.0,0.0,Nivel 1,0.0,1,-0.6834115050749255
Examen General de Egreso de la Licenciatura (ITSOEH)-IngenierÍas,Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,2.0,0.0,,1.0,2,0.2765095629852793
Proceso de Incubación (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,43200.0,0.0,0.0,,1.0,2,0.276040764397746
Protocolo de Titulación a Nivel Licenciatura (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,4.0,0.0,,1.0,2,0.5113349274298509
Cuota por Servicio de Extensión y Educación continua (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,43200.0,0.0,0.0,,1.0,2,0.276040764397746
Curso de Idiomas (ITSOEH),Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,10080.0,1.0,0.0,,1.0,2,0.2127935125754222
Expedición de Constancias de No inhabilitación,Secretaría de Contraloría,Secretaría de Controlaría,2880.0,0.0,1.0,,1.0,2,0.08621659372289987
Curso de Asignatura de 120 horas o más,Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,4320.0,1.0,0.0,,1.0,2,0.15846138176491462
Permiso Sanitario para Traslado de Cadáveres o Restos Áridos Fuera del Territorio Estatal,Secretaría de Salud,Secretaría de Salud,20.0,1.0,1.0,Nivel 1,1.0,2,-0.2393853035425421
Aprobación del Plan de Manejo de Residuos de Manejo Especial.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,86400.0,1.0,2.0,Nivel 2,1.0,0,0.7288727377538419
Autorización para la Operación de sitios de Disposición Final para Residuos Provenientes de la Construcción,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,43200.0,1.0,1.0,,0.0,1,-0.15152532309013245
Autorización para Prestar Servicios de Seguridad Privada en el Estado.,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,14400.0,11.0,12.0,Nivel 1,1.0,0,2.1859906242162137
Consulta externa de pediatría y especialidades en el Hospital del Niño DIF Hidalgo,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,1440.0,1.0,0.0,Nivel 1,0.0,1,-0.4609610010030646
Inicio de Carpetas de Investigación Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,120.0,0.0,0.0,Nivel 1,0.0,1,-0.5832483173896827
Certificado de Inscripción (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,1.0,2.0,Nivel 3.5,1.0,0,0.317689978502121
Pago de Derechos Anuales de las Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,Nivel 2,1.0,2,-0.167231188478754
Inscripción en el Padrón de Proveedores (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Registro Estatal de Consultores en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.21732142494414095
Por la supervisión y emisión de opiniones técnicas de factibilidad de usos de suelo de impacto significativo,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.21732142494414095
Pago de bases Licitaciones Públicas Estatales,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,10.0,1.0,1.0,Nivel 1,1.0,2,-0.28085609911660725
"Por la supervisión y la emisión de opiniones técnicas de establecimientos comerciales, industriales, de espectáculos públicos y de servicios instalados o que pretendan instalarse en el territorio del Estado",Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,43200.0,0.0,0.0,Nivel 1,1.0,2,0.21732142494414095
Inscripción nivel licenciatura UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,3.0,1.0,Nivel 2,1.0,2,-0.167231188478754
Préstamo de documentos históricos,Oficialía Mayor,Oficialía Mayor,30.0,0.0,0.0,Nivel 1,0.0,1,-0.670586231777897
Atención Ciudadana y Recepción de Quejas o Denuncias en contra de Servidores Públicos de la PGJH,Procuraduría General de Justicia,Procuraduría General de Justicia,60.0,2.0,0.0,Nivel 1,0.0,1,-0.5091265921261605
Por la Expedición y Entrega de un ejemplar del Periódico Oficial.,Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 3.7,1.0,3,-0.37845748248957634
Inscripción en el Padrón de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,1440.0,0.0,0.0,,0.0,1,-0.40224166154945956
Certificación de Copias Expedidas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,2.0,1.0,,1.0,2,-0.04979250957154395
Transferencia de Concesión del Servicio de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,8.0,1.0,,1.0,2,0.44458924654032383
Sustitución Vehicular de Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,9.0,1.0,,1.0,2,0.44458924654032383
Autorización de Cambio de Número de Motor para las Unidades Autorizadas por el Sistema de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,30.0,3.0,1.0,,1.0,2,-0.04979250957154395
Cancelación de Actos Jurídicos (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Depósito de Testamento Ológrafo (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,,1.0,2,0.35786617626972306
Devolución de un documento sin inscripción por causas no imputables al Registro Público de la Propiedad.,Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,7200.0,1.0,0.0,Nivel 3.5,1.0,3,-0.21981863399776272
Certificado de no Inscripción (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,8640.0,6.0,2.0,Nivel 3.5,1.0,0,0.6705635241670573
Inscripción de accesión de construcciones (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,3,0.44121255620635547
Inscripción de actas de asamblea de socios o juntas de administradores (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Inscripción de apeo o deslinde. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Inscripción de aportaciones de bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,6.0,1.0,,1.0,2,0.5926915407142948
Inscripción de compra-venta a plazos con reserva de dominio. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,7.0,1.0,Nivel 3.5,1.0,3,0.44121255620635547
Inscripción de cualquier clase de testamento. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,3.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Inscripción de cualquier otro título registrable conforme a la Ley. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,2.0,1.0,Nivel 3.5,1.0,3,-0.05316919990551239
Inscripción de disolución de la sociedad conyugal en lo referente a bienes inmuebles. (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,21600.0,1.0,1.0,Nivel 3.5,1.0,3,-0.17121738112587703
